team_name,project_name,github_url,project_url,track,sponsors_used,description
TECOLOTEROS,"Sistema Inteligente de Gestión de DTE, Facturas y Comprobantes",https://github.com/MN03SGO/TaxPilot,https://tax-pilot-tau.vercel.app/,,n8n; codex; elevenlabs; cursor,"SEMI FINALIZACION 
AUTOMATIZACION DE BANDEJA DE MENESAJE, ESPECIFICAMENTE DE CORREOS DE FACTURACION DTE Y MANEJO DE N8N,

USUARIO: 
correo: manuelsigara789@gmail.com
contra: 12345"
Cabo Verdianos SV,Echoes of History,https://github.com/Jefry224/Echoes-of-History,https://echoesofhistory.vercel.app/,,n8n; codex; elevenlabs; fal; cursor,"Es una plataforma de streaming de voz interactiva en tiempo real que permite mantener conversaciones telefónicas fluidas y naturales con figuras icónicas de la historia con el objetivo de aprender de sus hitos históricos o simplemente charlar sobre algún tema de tu interes.

En lugar de interfaces de chat, el usuario interactúa mediante voz continua con un avatar histórico interactivo. La aplicación combina modelos lingüísticos avanzados para la fidelidad del personaje, clonación de voz hiperrealista de baja latencia para modular emociones en tiempo real, y una arquitectura orquestada que reacciona visualmente según el tono y el análisis sentimental de la conversación"
SigmaSquad,Kromed,https://github.com/algodondev/Kromed,https://kromed.netlify.app/,,codex; n8n; elevenlabs; wispr; cursor; netlify,"Kromed is a medical operations platform for teams that provide external respiratory and home-care services. The business problem is that scheduling, patient follow-up, collaborator coordination, visit validation, clinical notes, supplies, equipment rentals, payments, and collaborator payouts are often handled across WhatsApp, spreadsheets, PDFs, and manual reminders. That creates conflicts, missing information, delayed collections, unclear payouts, and poor operational visibility.

Kromed centralizes that workflow into a role-based web platform. Leaders manage patients, collaborators, schedules, visits, inventory, payments, payouts, and operational dashboards. Collaborators see their assigned visits, patients, availability, reschedule requests, clinical notes, and payment-related information. The system uses Supabase as the source of truth and keeps patient, clinical, scheduling, and financial data protected with role checks and database-level access rules.

## Core Technologies and Concepts Used

* Next.js 16 App Router, React 19, and TypeScript for the web app.
* Tailwind CSS v4 and shadcn/ui with Lucide icons for the production UI.
* Supabase Auth, Supabase Postgres, RLS policies, and Supabase SSR/client helpers for identity, database access, and protected data.
* Supabase schema covering profiles, collaborators, patients, assignments, clinical parameters, visits, availability, inventory, equipment, payments, payouts, audit events, automation runs, conversations, and messages.
* n8n for AI and workflow automation. I verified the live n8n workspace through the API: it has Kromed workflows for the inbound WhatsApp agent, AI Supabase tool agent, Supabase context tool, business operations tool, inbound agent test suite, voice-note transcription, Zavu smoke tests, reminders, and visit digests.
* OpenAI through n8n LangChain agent nodes for AI-assisted operational interpretation, with deterministic n8n tool workflows handling real business actions.
* Zavu for WhatsApp inbound and outbound messaging.
* ElevenLabs Speech-to-Text for WhatsApp voice-note transcription.
* Playwright, ESLint, and Next.js build checks for UI and implementation verification.

At a concept level, Kromed combines role-based healthcare operations, Supabase-backed data integrity, WhatsApp automation, AI-assisted workflow routing, auditability, and human-controlled clinical/financial decisions."
Memo AI Team,Memo AI,https://github.com/kevRodrguez/MemoAI,,,n8n; codex; elevenlabs; wispr; cursor; datamcp,"Memo App es un asistente de productividad voice-first y agente ejecutivo autónomo diseñado para erradicar la carga administrativa en equipos de desarrollo a la hora de realizar reuniones presenciales. 

Mediante la escucha activa, Memo captura, analiza y estructura la información de las reuniones presenciales en tiempo real, transformando conversaciones en tareas asignadas, registros de contactos y resúmenes ejecutivos. Además, actúa como un participante técnico activo a través de una interfaz interactiva, capaz de resolver dudas de arquitectura o código al instante, permitiendo a los profesionales mantener el flujo de trabajo sin tocar el teclado."
Sparking Dinos,SUPERION,https://github.com/StefMiles99/superion,,,codex; elevenlabs; cursor,"SUPERION es un copiloto de voz para técnicos de mantenimiento industrial que responde consultas técnicas citando el manual exacto, guía procedimientos paso a paso sin permitir omitir pasos críticos, y registra todo lo que el técnico narra mientras trabaja con las manos ocupadas — para generar automáticamente, al cierre de la intervención, el reporte de mantenimiento y las órdenes de trabajo a partir de la conversación y la evidencia fotográfica. Construido con ElevenLabs Agents, LangGraph, OpenRouter y Supabase, convierte hasta un 50% de jornada perdida en papeleo en tiempo de trabajo real."
Nervio,Nervio enterview,https://github.com/REMR11/Buildathon_Nervio_interview,https://buildathon-nervio.vercel.app/,,n8n; cursor,Domina tus entrevistas laborales con Nervio: practica en tiempo real y perfecciona tu discurso gracias a un entrevistador virtual con IA que interactúa contigo a través de voz.
PatitasNet,Kany,https://github.com/InfinityJaaR/kany,https://kany.netlify.app/,,cursor; codex; netlify; firecrawl; n8n,"Kany es una plataforma comunitaria de cuidado animal para El Salvador. Conecta personas para:

Reportar mascotas perdidas/encontradas
Gestionar donaciones
Activar opcionalmente un tercer módulo: comparador de precios o directorio de veterinarias"
ISABEL,ISABEL,https://github.com/JARV2332/ISABEL,https://www.edukidsgt.com/ISABEL,,n8n; codex; elevenlabs; firecrawl; cursor,
AgroSmart,AgroSmart Corporation,https://github.com/atlasdigitalsv-max/AgroSmart-Corporation,https://atlasdigitalsv-max.github.io/AgroSmart-Corporation/,,elevenlabs; codex,"AgroSmart es una plataforma tecnológica integral de grado empresarial (B2G/B2B/B2C) diseñada para modernizar y potenciar el campo agrícola, que centraliza en un único ecosistema resistente y operable 100% offline en zonas rurales sin internet: la georreferenciación de parcelas en un globo terráqueo satelital 3D interactivo (CesiumJS y radares climáticos), la generación automática de planes técnicos de fertilización, una guía astronómica lunar en tiempo real para labores de siembra y cosecha, una red social comunitaria y de chat cooperativo (AgroRed), asistencia agronómica pericial remota mediante videollamadas satelitales (WebRTC) y un asistente virtual de Inteligencia Artificial 24/7 (Jarvis) multi-modelo, todo estructurado bajo una estricta jerarquía de roles, planes de membresía y auditoría gubernamental con capacidad de telemetría y sanción para ministerios de agricultura y cooperativas."
FORTHERECORD,Ditto APP,https://github.com/BluefoxSV/DittoApp,https://kitsuneshin.com/,,n8n; elevenlabs; codex; datamcp; cursor; cognition; netlify; wispr; firecrawl; exa; fal,"Ditto es una app de directorio de empleos enfocada a la busqueda de profesionales en oficios informales con integraciones de ia, seguimmiento de capaciitaciones, y contacto de clientes y gestion de servicios"
artemus,kobi,https://github.com/androso/kobi,,,,description
whoisjson,SilentSOS,https://github.com/EGuerra-1/silentsos,https://github.com/EGuerra-1/silentsos.git,,n8n; cursor; codex; elevenlabs,
WUJU,WUJU_Companion,https://github.com/javacachava/wuju_companion,https://companion.wuju.dev/,,codex; n8n; cursor,"Wuju es tu propia mascota virtual pero es mas que una mascota, es un asistente, auditor y especialista, con la posibilidad de que cada usuario pueda desarrollar su porpio asistente te permite añadirle utilidades no solo como desarrollador sino como diseñador, gamer o arquitecto al final la creatividad de los usuarios es el limite."
MOB SQUAD,Scuad,https://github.com/diegoval11/ESCUADRON-DE-LA-MAFIA,,,netlify; cursor,
Team Pasasin,Know.ly,https://github.com/buildathon-24h/build-24h-f,https://knowly-app.netlify.app/,,n8n; codex; cursor; elevenlabs; netlify,"Know.ly is an AI-driven platform designed to unify, structure, and make accessible all organizational knowledge across multiple data sources."
TekDev,TekDev,https://github.com/devmariomtz/tekdev,,,codex; cursor; netlify; datamcp; n8n,"TekDev es una plataforma de seguridad de código impulsada por IA que integra análisis, priorización y remediación de vulnerabilidades directamente en el flujo de desarrollo. Su enfoque combina un motor inteligente tipo BLAST para analizar código, un sistema de priorización basado en riesgo real, y un “CISO 25/8” que monitorea y sugiere mejoras continuamente.
La solución se integra en múltiples puntos del ciclo de desarrollo —web, CLI, pipelines CI/CD y extensiones de VSCode— permitiendo detectar, analizar y corregir vulnerabilidades de forma rápida, automatizada y sin fricción para el desarrollador. Su objetivo principal es reducir la fatiga de alertas, eliminar falsos positivos y cerrar la brecha entre desarrollo y seguridad en tiempo real."
CareLink,CareLink,https://github.com/KarlaFuentesPerla/CareLink_,https://carelinksv.netlify.app/,,elevenlabs; cursor; netlify,"CareLink es un asistente inteligente para el cuidado de adultos mayores que combina IA conversacional por voz, automatización y monitoreo en tiempo real para conectar a las personas mayores con sus familias. Más que enviar recordatorios, acompaña, verifica el bienestar del usuario y mantiene informados a sus seres queridos, brindando tranquilidad, autonomía y una atención más humana."
DX2,alma - memory training,https://github.com/raderas/buildathon,https://dx2-buildathon.netlify.app/,,elevenlabs; cursor; n8n; codex; netlify,Alma es un asistente para atención de personas con dificultades de memoria o padecimientos similares facilitando la ejecución de juegos y pruebas cognitivas sencillas personalizadas para llevar un registro e identificar tempranamente deterioros cognitivos.
Pipsas,Pipsas2,https://github.com/wmoralesdev/test-buildathon,https://wmorales.dev/,,n8n; codex; datamcp; cursor,asdasda
TheOGVibecoders,Driver Labs,https://github.com/driver-labs/app,,,n8n; codex,"Una plataforma inteligente de formación vial que combina normativa oficial, simulaciones 3D, inteligencia artificial y escenarios interactivos para enseñar a los conductores a anticipar riesgos, comprender sus responsabilidades y tomar decisiones seguras en situaciones reales de tránsito."
Bytos,Hooras,https://github.com/standoge/hooras-back,,,n8n; codex; netlify; firecrawl; cursor,
