team_name,project_name,github_url,project_url,track,sponsors_used,description
TECOLOTEROS,"Sistema Inteligente de Gestión de DTE, Facturas y Comprobantes",https://github.com/MN03SGO/TaxPilot,https://tax-pilot-tau.vercel.app/audit,,n8n; codex; elevenlabs; cursor,"-integracion de N8N + openAi
-Configuracion y conexion de de api
-Configuracion de recibimiento de N8N
-Conexion de OPENIA y transformacion del documento de gmail 
-Conexion de supabase
-integracion de eleven labs
-mejoramiento de dashboard"
Cabo Verdianos SV,Echoes of History,https://github.com/Jefry224/Echoes-of-History,https://echoesofhistory.vercel.app/,,n8n; codex; elevenlabs; fal; cursor,"Es una plataforma de streaming de voz interactiva en tiempo real que permite mantener conversaciones telefónicas fluidas y naturales con figuras icónicas de la historia con el objetivo de aprender de sus hitos históricos o simplemente charlar sobre algún tema de tu interes.

En lugar de interfaces de chat, el usuario interactúa mediante voz continua con un avatar histórico interactivo. La aplicación combina modelos lingüísticos avanzados para la fidelidad del personaje, clonación de voz hiperrealista de baja latencia para modular emociones en tiempo real, y una arquitectura orquestada que reacciona visualmente según el tono y el análisis sentimental de la conversación"
SigmaSquad,Kromed,https://github.com/algodondev/Kromed,https://kromed.netlify.app/,,codex; n8n; elevenlabs; wispr; cursor; netlify,Kromed
Memo AI Team,Memo AI,https://github.com/kevRodrguez/MemoAI,,,n8n; codex; elevenlabs; wispr; cursor,"Memo App es un asistente de productividad voice-first y agente ejecutivo autónomo diseñado para erradicar la carga administrativa en equipos de desarrollo a la hora de realizar reuniones presenciales. 

Mediante la escucha activa, Memo captura, analiza y estructura la información de las reuniones presenciales en tiempo real, transformando conversaciones en tareas asignadas, registros de contactos y resúmenes ejecutivos. Además, actúa como un participante técnico activo a través de una interfaz interactiva, capaz de resolver dudas de arquitectura o código al instante, permitiendo a los profesionales mantener el flujo de trabajo sin tocar el teclado."
Sparking Dinos,SUPERION,https://github.com/StefMiles99/superion,,,codex; elevenlabs; cursor,"SUPERION es un copiloto de voz para técnicos de mantenimiento industrial que responde consultas técnicas citando el manual exacto, guía procedimientos paso a paso sin permitir omitir pasos críticos, y registra todo lo que el técnico narra mientras trabaja con las manos ocupadas — para generar automáticamente, al cierre de la intervención, el reporte de mantenimiento y las órdenes de trabajo a partir de la conversación y la evidencia fotográfica. Construido con ElevenLabs Agents, LangGraph, OpenRouter y Supabase, convierte hasta un 50% de jornada perdida en papeleo en tiempo de trabajo real."
Nervio,Nervio enterview,https://github.com/REMR11/Buildathon_Nervio_interview,,,,Domina tus entrevistas laborales con Nervio: practica en tiempo real y perfecciona tu discurso gracias a un entrevistador virtual con IA que interactúa contigo a través de voz.
PatitasNet,Kany,https://github.com/InfinityJaaR/kany,https://kany.netlify.app/,,cursor; codex; netlify; firecrawl; n8n,"Kany es una plataforma comunitaria de cuidado animal para El Salvador. Conecta personas para:

Reportar mascotas perdidas/encontradas
Gestionar donaciones
Activar opcionalmente un tercer módulo: comparador de precios o directorio de veterinarias"
ISABEL,ISABEL,https://github.com/JARV2332/ISABEL,https://www.edukidsgt.com/ISABEL,,n8n; codex; elevenlabs; firecrawl; cursor,
AgroSmart,AgroSmart Corporation,https://github.com/atlasdigitalsv-max/AgroSmart-Corporation,https://atlasdigitalsv-max.github.io/AgroSmart-Corporation/,,elevenlabs,"AgroSmart es una plataforma tecnológica integral de grado empresarial (B2G/B2B/B2C) diseñada para modernizar y potenciar el campo agrícola, que centraliza en un único ecosistema resistente y operable 100% offline en zonas rurales sin internet: la georreferenciación de parcelas en un globo terráqueo satelital 3D interactivo (CesiumJS y radares climáticos), la generación automática de planes técnicos de fertilización, una guía astronómica lunar en tiempo real para labores de siembra y cosecha, una red social comunitaria y de chat cooperativo (AgroRed), asistencia agronómica pericial remota mediante videollamadas satelitales (WebRTC) y un asistente virtual de Inteligencia Artificial 24/7 (Jarvis) multi-modelo, todo estructurado bajo una estricta jerarquía de roles, planes de membresía y auditoría gubernamental con capacidad de telemetría y sanción para ministerios de agricultura y cooperativas."
FORTHERECORD,Ditto APP,https://github.com/BluefoxSV/DittoApp,,,n8n; elevenlabs; codex; datamcp; cursor; cognition; netlify; wispr; firecrawl; exa; fal,"Ditto es una app de directorio de empleos enfocada a la busqueda de profesionales en oficios informales con integraciones de ia, seguimmiento de capaciitaciones, y contacto de clientes y gestion de servicios"
